STT,Mã CK,Tên công ty,Sàn CK
32,ACB,Ngân hàng TMCP Á Châu,HOSE
33,ACBC,Công ty TNHH MTV Quản lý Quỹ ACB,KHÁC
34,ACBS,Công ty TNHH Chứng khoán ACB,KHÁC
35,ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,HOSE
36,ACCCO,CTCP Tư vấn Kiến trúc và Xây dựng Thành phố Hồ Chí Minh,OTC
37,ACE,CTCP Bê tông Ly tâm An Giang,UPCOM
38,ACELife,Công ty TNHH Bảo hiểm Nhân thọ ACE,KHÁC
39,ACELifeFMC,Công ty TNHH MTV Quản lý Quỹ ACE LIFE,KHÁC
40,ACG,CTCP Gỗ An Cường,UPCOM
41,ACGroup,Công ty TNHH Tư vấn và Kiểm toán Quốc tế,KHÁC
42,ACHAU,CTCP Tơ tằm Á Châu,OTC
43,AChauAudit,Công ty TNHH Kiểm toán Quốc tế Á Châu,KHÁC
44,ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,HOSE
45,Aclii,CTCP Cho thuê Tài chính II Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,OTC
46,ACM,CTCP Tập đoàn Khoáng sản Á Cường,HNX
47,ACPA,Công ty TNHH Kiểm toán và Tư vấn Nexia  ACPA,KHÁC
48,ACS,CTCP Xây lắp Thương mại 2,UPCOM
49,ACSVN,CTCP ACS Việt Nam,OTC
50,ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,UPCOM
51,ACVietNam,Công ty TNHH Tài chính và Kiểm toán Việt Nam,KHÁC
52,ADC,CTCP Mỹ thuật và Truyền thông,HNX
53,ADG,CTCP Clever Group,HOSE
54,ADP,CTCP Sơn Á Đông,UPCOM
55,ADS,CTCP Damsan,HOSE
56,AEAAudit,Công ty TNHH Kiểm toán Đông Á,KHÁC
57,AECS,CTCP Tư vấn Xây dựng và Dịch vụ Hàng Không,OTC
58,AFC,CTCP Nông Lâm nghiệp Bình Dương,OTC
59,AFCAudit,Công ty TNHH Kiểm toán AFC Việt Nam,KHÁC
60,AFCC,Công ty TNHH Kiểm toán và Tư vấn Tài chính A.F.C.C,KHÁC
61,AFCVietNam,Công ty TNHH Kiểm toán và Tư vấn Tài chính Kế toán Việt Nam,KHÁC
62,AFCVietnamFund,Quỹ AFC Vietnam Fund,KHÁC
63,AFPAudit,Công ty TNHH Kiểm toán và Tư vấn AFP,KHÁC
64,AFVI,Công ty TNHH Kiểm toán Tư vấn Tài chính và Đầu tư Việt Nam,KHÁC
65,AFX,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang,UPCOM
66,AG1,CTCP 28.1,UPCOM
67,AGC,CTCP Cà phê An Giang,OTC
68,AGD,CTCP Gò Đàng,OTC
69,AGF,CTCP Xuất nhập khẩu Thủy sản An Giang,UPCOM
70,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,HOSE
71,AGM,CTCP Xuất Nhập khẩu An Giang,HOSE
72,AGP,CTCP Dược phẩm Agimexpharm,UPCOM
73,AGR,CTCP Chứng khoán Agribank,HOSE
74,Agribank,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,KHÁC
75,AGRIMECO,Tổng Công ty Cơ điện Xây dựng - CTCP,OTC
76,AgrimexcoCaMau,CTCP Xuất nhập khẩu Nông sản Thực phẩm Cà Mau,OTC
77,AGRITOUR,CTCP Du lịch Thương mại Nông nghiệp Việt Nam,OTC
78,AGROMAS,CTCP Cơ điện Nông Nghiệp và Thủy Lợi II,OTC
79,AGTourimex,CTCP Du lịch An Giang,OTC
80,AGX,CTCP Thực phẩm Nông Sản xuất khẩu Sài Gòn,UPCOM
81,AIA,Công ty TNHH Bảo hiểm Nhân thọ AIA (Việt Nam),KHÁC
82,AIC,Tổng Công ty Cổ phần Bảo hiểm Hàng không,UPCOM
83,AICA,Công ty TNHH Tư vấn - Kiểm toán Liên Minh Quốc tế,KHÁC
84,AICapital,Công ty Quản lý Quỹ đầu tư A.I Capital,KHÁC
85,Airserco,CTCP Cung ứng Dịch vụ Hàng Không,OTC
86,AISC,Công ty TNHH Kiểm toán và Dịch vụ Tin học,KHÁC
87,AITS,CTCP Tin học Viễn thông Hàng không,OTC
88,ALC,CTCP Âu Lạc,OTC
89,ALP,CTCP Đầu tư Alphanam,OTC
90,ALS,CTCP Logistics Hàng không,OTC
91,ALT,CTCP Văn hóa Tân Bình,HNX
92,ALV,CTCP Xây dựng ALVICO,UPCOM
93,AMC,CTCP Khoáng sản Á Châu,HNX
94,AMD,CTCP Đầu tư và Khoáng sản FLC Stone,HOSE
95,AME,CTCP Alphanam E&C,HNX
96,AMIC,CTCP Đầu tư AMIC,OTC
97,AMP,CTCP Armephaco,UPCOM
98,AMS,CTCP Cơ khí Xây dựng AMECC,UPCOM
99,AMV,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,HNX
100,ANCO,CTCP Dinh dưỡng Nông nghiệp Quốc tế,OTC
101,AnGiangDT,Công ty TNHH MTV Môi trường Đô thị An Giang,KHÁC
102,AnPhatAudit,Công ty TNHH Kiểm toán và Kế toán An Phát,KHÁC
103,AnphatCapital,CTCP Quản lý Quỹ Đầu tư Merlin,OTC
104,AnPhu,CTCP An Phú,OTC
105,AnPhuCorp,CTCP Đầu tư Bất động sản An Phú,OTC
106,AnPhuGroup,Công ty TNHH Kiểm toán An Phú,KHÁC
107,Anresco,CTCP Địa ốc An Giang,OTC
108,ANT,CTCP Rau quả Thực phẩm An Giang,UPCOM
109,ANV,CTCP Nam Việt,HOSE
110,ANZB,Ngân hàng TNHH MTV ANZ Việt Nam,KHÁC
111,AON,Công ty TNHH AON Việt Nam,KHÁC
112,APBAudit,Công ty TNHH Kiểm toán và Kế toán A.P.B,KHÁC
113,APC,CTCP Chiếu xạ An Phú,HOSE
114,ApecAudit,Công ty TNHH Kiểm toán APEC,KHÁC
115,APF,CTCP Nông sản Thực phẩm Quảng Ngãi,UPCOM
116,APG,CTCP Chứng khoán APG,HOSE
117,APH,CTCP Tập đoàn An Phát Holdings,HOSE
118,API,CTCP Đầu tư Châu Á - Thái Bình Dương,HNX
119,APL,CTCP Cơ khí và Thiết bị áp lực - VVMI,UPCOM
120,Aplaco,CTCP Nhựa Cao Cấp Hàng Không,OTC
121,APP,CTCP Phát triển Phụ gia và Sản phẩm Dầu Mỏ,HNX
122,APRest,CTCP Thương mại Đầu tư Bất động sản An Phát,OTC
123,APS,CTCP Chứng khoán Châu Á Thái Bình Dương,HNX
124,APSC,CTCP Chứng khoán Alpha,OTC
125,APT,CTCP Kinh doanh Thủy Hải Sản Sài Gòn,UPCOM
126,AQN,CTCP 28 Quảng Ngãi,OTC
127,ARM,CTCP Xuất nhập khẩu Hàng không,HNX
128,ART,CTCP Chứng khoán BOS,HNX
129,Artexport,CTCP Xuất nhập khẩu Thủ công mỹ nghệ,OTC
130,ArtexSaigon,CTCP Xuất nhập khẩu Hàng tiểu thủ công nghiệp Sài Gòn,OTC
131,ASA,CTCP ASA,UPCOM
132,ASCAudit,Công ty TNHH Kiểm toán ASC,KHÁC
133,ASCH,CTCP Hóa chất Á Châu,OTC
134,ASCO,Công ty TNHH Kiểm toán ASCO,KHÁC
135,ASCS,CTCP Chứng khoán VPBank,OTC
136,ASCSaiGon,CTCP Đầu tư Nông nghiệp ASC Sài Gòn,OTC
137,ASD,CTCP Sông Đà Hà Nội,OTC
138,AseanAudit,Công ty TNHH Kiểm toán và Tư vấn ASEAN,KHÁC
139,ASG,CTCP Tập đoàn ASG,HOSE
140,ASIACorp,CTCP Châu Á,OTC
141,ASIAGF,Quỹ đầu tư Tăng trưởng ACB,OTC
142,ASM,CTCP Tập đoàn Sao Mai,HOSE
143,ASNAF,Công ty TNHH Kiểm toán ASNAF VN,KHÁC
144,ASP,CTCP Tập đoàn Dầu khí An Pha,HOSE
145,AST,CTCP Dịch vụ Hàng không Taseco,HOSE
146,ATA,CTCP Ntaco,UPCOM
147,ATAAudit,Công ty TNHH Kiểm toán Quốc tế ATA,KHÁC
148,ATAX,Công ty TNHH Kiểm toán và Tư vấn Thuế ATAX,KHÁC
149,ATB,CTCP An Thịnh,UPCOM
150,ATC,CTCP Sản xuất - Thương mại - Xuất nhập khẩu Viễn Thông A,OTC
151,ATD,CTCP 28 Đà Nẵng,OTC
152,ATG,CTCP An Trường An,UPCOM
153,ATICVietnam,Công ty TNHH Kiểm toán Tư vấn Việt Nam,KHÁC
154,ATS,CTCP Tập Đoàn Dược Phẩm Atesco,HNX
155,ATSC,CTCP Chứng khoán An Thành,OTC
156,AUDI,Công ty TNHH Kiểm toán - Tư vấn Thuế,KHÁC
157,AuditConsult,Công ty TNHH Kiểm toán và Tư vấn A&C,KHÁC
158,AuLac,Công ty TNHH Kiểm toán Âu Lạc,KHÁC
159,AUM,CTCP Vinacafe Sơn Thành,UPCOM
160,Auto15,CTCP Ô tô 1-5,OTC
161,AVA,Công ty TNHH Kiểm toán và Thẩm định giá Việt Nam,KHÁC
162,AVC,CTCP Thủy điện A Vương,UPCOM
163,AVF,CTCP Việt An,UPCOM
164,AVICO,Công ty TNHH Kiểm toán AVICO,KHÁC
165,Avicon,CTCP Công trình Hàng không,OTC
166,AVINA,"Công ty TNHH Tư vấn Thuế, Kế toán và Kiểm toán Việt Nam",KHÁC
167,AVS,CTCP Chứng khoán Âu Việt,OTC
168,AzureCity,CTCP Thành Phố Xanh,OTC
169,B82,CTCP 482,UPCOM
170,BAB,Ngân hàng TMCP Bắc Á,HNX
171,BacGiang,CTCP Xuất nhập Khẩu Bắc Giang,OTC
172,BachViet,CTCP Công nghệ và Đầu tư Bách Việt,OTC
173,BAF,CTCP Nông nghiệp BAF Việt Nam,HOSE
174,BAFECO,CTCP Thức ăn Chăn nuôi Bạc Liêu,OTC
175,BAL,CTCP Bao bì Bia - Rượu - Nước giải khát,UPCOM
176,BAM,CTCP Khoáng sản và Luyện kim Bắc Á,OTC
177,BaoBi277,Công ty TNHH MTV Bao Bì 277 Hà Nội,KHÁC
178,BaoBiDuoc,CTCP  Bao bì Dược,OTC
179,BaoHoLaoDong,CTCP Tạp phẩm và Bảo hộ Lao động,OTC
180,BaoVietBank,Ngân hàng TMCP Bảo Việt,OTC
181,BaoVietResort,CTCP Khách Sạn và Du Lịch Bảo Việt,OTC
182,Barotex,CTCP Thương mại và Đầu tư Barotex Việt Nam,OTC
183,BAS,CTCP Basa,OTC
184,Baseafood,CTCP Chế biến Xuất nhập khẩu Thủy sản Bà Rịa - Vũng Tàu,OTC
185,BAV,CTCP Hàng không Tre Việt,OTC
186,BAX,CTCP Thống Nhất,HNX
187,BBC,CTCP Bibica,HOSE
188,BBH,CTCP Bao bì Hoàng Thạch,UPCOM
189,BBL,CTCP Bourbon Bến Lức,OTC
190,BBM,CTCP Bia Hà Nội - Nam Định,UPCOM
191,BBS,CTCP VICEM Bao bì Bút Sơn,HNX
192,BBT,CTCP Bông Bạch Tuyết,UPCOM
193,BCA,CTCP B.C.H,UPCOM
194,BCB,CTCP 397,UPCOM
195,BCC,CTCP Xi măng Bỉm Sơn,HNX
196,BCE,CTCP Xây dựng và Giao thông Bình Dương,HOSE
197,BCEL-KT,BCEL-KT Securities Co. LTD,KHÁC
198,BCF,CTCP Thực phẩm Bích Chi,HNX
199,BCG,CTCP Bamboo Capital,HOSE
200,BCI,Công ty TNHH MTV Đầu tư Kinh doanh Nhà Khang Phúc,KHÁC
201,BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp – CTCP,HOSE
202,BCP,CTCP Dược ENLIE,UPCOM
203,BCV,CTCP Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico,UPCOM
204,BDB,CTCP Sách và Thiết bị Bình Định,HNX
205,BDC,Tổng Công ty Xây dựng Bạch Đằng - CTCP,OTC
206,BDF,CTCP Giày Bình Định,OTC
207,BDG,CTCP May mặc Bình Dương,UPCOM
208,BDMienTrung,CTCP Xây lắp Bưu điện Miền Trung,OTC
209,BDOAudit,Công ty TNHH Kiểm toán BDO,KHÁC
210,BDP,CTCP Biệt thự và Khách sạn biển Đông Phương,OTC
211,BDS,CTCP Đường Bình Định,OTC
212,BDSDKVN,CTCP Bất động sản Dầu khí Việt Nam,OTC
213,BDSThanhNien,CTCP Bất động sản Thanh Niên,OTC
214,BDT,CTCP Xây lắp và Vật liệu Xây dựng Đồng Tháp,UPCOM
215,BDW,CTCP Cấp thoát nước Bình Định,UPCOM
216,BecamexCMC,CTCP Vật liệu Xây dựng Becamex,OTC
217,BED,CTCP Sách và Thiết bị Trường học Đà Nẵng,HNX
218,BEL,CTCP Điện tử Biên Hòa,UPCOM
219,BenhVienGiaoThong,CTCP Bệnh viện Giao thông Vận tải ,OTC
220,Benthanhhouse,CTCP Phát triển và Dịch vụ Nhà Bến Thành,OTC
221,Beta,CTCP Chứng khoán Beta,OTC
222,BeTongHaiAu,CTCP Bê tông Hải Âu,OTC
223,BFC,CTCP Phân bón Bình Điền,HOSE
224,BGM,CTCP Khai Thác và Chế Biến khoáng Sản Bắc Giang,OTC
225,BGW,CTCP Nước sạch Bắc Giang,UPCOM
226,BHA,CTCP Thủy điện Bắc Hà,UPCOM
227,BHAAC,Công ty TNHH Kiểm toán và Kế toán Biên Hoà,KHÁC
228,BHC,CTCP Bê tông Biên Hòa,UPCOM
229,BHDienMay,CTCP Bách hóa Điện máy Sài Gòn,OTC
230,BHG,CTCP Chè Biển Hồ,UPCOM
231,BHK,CTCP Bia Hà Nội - Kim Bài,UPCOM
232,BHN,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội,HOSE
233,BHP,CTCP Bia Hà Nội - Hải Phòng,UPCOM
234,BHS,Công ty TNHH MTV Đường TTC Biên Hòa - Đồng Nai,KHÁC
235,BHT,CTCP Đầu tư Xây dựng Bạch Đằng TMC,UPCOM
236,BHV,CTCP Bá Hiến,OTC
237,BiaCanTho,CTCP  Bia Nước giải khát Cần Thơ,OTC
238,BiaSaiGonDongNai,CTCP Bia Sài Gòn - Đồng Nai,OTC
239,BiaSaiGonHaNam,CTCP Bia Sài Gòn - Hà Nam,OTC
240,BiaSaiGonPhuYen,CTCP Bia Sài Gòn - Phú Yên,OTC
241,BiaSaiGonQuyNhon,CTCP Bia Sài Gòn - Quy Nhơn,OTC
242,BiaVietHa,CTCP Bia và Nước giải khát Việt Hà,OTC
243,BIC,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,HOSE
244,BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,HOSE
245,BIG,CTCP Big Invest Group,UPCOM
246,BII,CTCP Louis Land,HNX
247,BikeThongNhat,Công ty TNHH MTV Thống Nhất,KHÁC
248,BinhAnSeaFood,CTCP Thủy sản Bình An,OTC
249,BinhDien,CTCP Thủy điện Bình Điền,OTC
250,BinhDinh,CTCP Vật tư Kỹ thuật Nông nghiệp Bình Định,OTC
251,BinhTriThien,CTCP Lương thực Bình Trị Thiên,OTC
252,BIO,CTCP Vắc xin và Sinh phẩm Nha Trang,UPCOM
253,Biprica,CTCP In và Bao bì Bình Định,OTC
254,BJC,CTCP VRG - Bảo Lộc,OTC
255,BKC,CTCP khoáng sản Bắc Kạn,HNX
256,BKG,CTCP Đầu tư BKG Việt Nam,HOSE
257,BKH,CTCP Bánh mứt kẹo Hà Nội,UPCOM
258,BLF,CTCP Thủy sản Bạc Liêu,HNX
259,BLI,Tổng Công ty cổ phần Bảo hiểm Bảo Long,UPCOM
260,BLN,CTCP Vận tải và Dịch vụ Liên Ninh,UPCOM
261,BLT,CTCP Lương thực Bình Định,UPCOM
262,BLU,Trung tâm Dịch vụ Đô thị tỉnh Bạc Liêu,OTC
263,Bluechipfund,Quỹ đầu tư Cổ phiếu Hàng đầu VCBF,OTC
264,BLW,CTCP Cấp nước Bạc Liêu,UPCOM
265,BM9,CTCP Đầu tư Xây dựng 319 Miền Nam,OTC
266,BMC,CTCP Khoáng sản Bình Định,HOSE
267,BMD,CTCP Môi trường và Dịch vụ Đô thị Bình Thuận,UPCOM
268,BMF,CTCP Vật liệu Xây dựng và Chất đốt Đồng Nai,UPCOM
269,BMG,CTCP May Bình Minh,UPCOM
270,BMI,Tổng Công ty cổ phần Bảo Minh,HOSE
271,BMJ,CTCP Khoáng sản Miền Đông AHP,UPCOM
272,BMJC,CTCP Xây dựng và Sản xuất Vật liệu Xây dựng,OTC
273,BMN,CTCP 715,UPCOM
274,BMP,CTCP Nhựa Bình Minh,HOSE
275,BMS,CTCP Chứng khoán Bảo Minh,UPCOM
276,BMV,CTCP Bột mỳ Vinafood 1,UPCOM
277,BNA,CTCP Đầu tư Sản xuất Bảo Ngọc,HNX
278,BNC,CTCP Dịch vụ Cáp treo Bà Nà,OTC
279,BNW,CTCP Nước sạch Bắc Ninh,UPCOM
280,BongSen,CTCP Bông Sen,OTC
281,BOT,CTCP BOT Cầu Thái Hà,UPCOM
282,BOT741,CTCP Kinh doanh BOT đường ĐT.741,KHÁC
283,BOTRM,Công ty TNHH B.O.T Cầu Rạch Miễu,KHÁC
284,BPC,CTCP VICEM Bao bì Bỉm Sơn,HNX
285,BPMC,CTCP Vật tư Xăng dầu Bình Thuận,OTC
286,BPW,CTCP Cấp thoát nước Bình Phước,OTC
287,BQB,CTCP Bia Hà Nội - Quảng Bình,UPCOM
288,BRC,CTCP Cao su Bến Thành,HOSE
289,Britec,CTCP Tư vấn Thiết kế Cầu Lớn - Hầm,OTC
290,BRR,CTCP Cao su Bà Rịa,UPCOM
291,BRS,CTCP Dịch vụ Đô thị Bà Rịa,UPCOM
292,BSA,CTCP Thủy điện Buôn Đôn,UPCOM
293,BSC,CTCP Dịch vụ Bến Thành,HNX
294,BSD,"CTCP Bia, Rượu Sài Gòn - Đồng Xuân",UPCOM
295,BSG,CTCP Xe khách Sài Gòn,UPCOM
296,BSH,CTCP Bia Sài Gòn - Hà Nội,UPCOM
297,BSI,CTCP Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam,HOSE
298,BSL,CTCP Bia Sài Gòn - Sông Lam,UPCOM
299,BSMCorp,CTCP Phần mềm Giải pháp Quảnlý Mã vạch,OTC
300,BSP,CTCP Bia Sài Gòn - Phú Thọ,UPCOM
301,BSQ,CTCP Bia Sài Gòn - Quảng Ngãi,UPCOM
302,BSR,CTCP Lọc hóa Dầu Bình Sơn,UPCOM
303,BST,CTCP Sách và Thiết bị Bình Thuận,HNX
304,BT1,CTCP Bảo vệ Thực vật 1 Trung Ương,UPCOM
305,BT6,CTCP Beton 6,UPCOM
306,BTB,CTCP Bia Hà Nội - Thái Bình,UPCOM
307,BTC,CTCP Cơ khí  và Xây dựng Bình Triệu,OTC
308,BTCom,CTCP Đầu tư Thương mại Bến Thành,OTC
309,BTD,CTCP Bê tông Ly tâm Thủ Đức,UPCOM
310,BTG,CTCP Bao bì Tiền Giang,UPCOM
311,BTH,CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội,UPCOM
312,BTJ,CTCP Vàng bạc Đá quý Bến Thành,OTC
313,BTL,CTCP Tập đoàn Capella,OTC
314,BTN,CTCP Gạch Tuy Nen Bình Định,UPCOM
315,BTP,CTCP Nhiệt điện Bà Rịa,HOSE
316,BTR,CTCP Đường sắt Bình Trị Thiên,OTC
317,BTS,CTCP Xi măng VICEM Bút Sơn,HNX
318,BTT,CTCP Thương mại Dịch vụ Bến Thành,HOSE
319,BTU,CTCP Công trình Đô thị Bến Tre,UPCOM
320,BTV,CTCP Dịch vụ Du lịch Bến Thành,UPCOM
321,BTW,CTCP Cấp nước Bến Thành,HNX
322,BTWASECO,CTCP Cấp thoát nước Bình Thuận,OTC
323,BUD,CTCP Khoa học Công nghệ Việt Nam,OTC
324,BuuDienCM,CTCP Xây lắp và Dịch vụ Bưu điện Cà Mau,OTC
325,BVA,CTCP Sản xuất và Thương mại Bắc Việt,OTC
326,BVB,Ngân hàng TMCP Bản Việt,UPCOM
327,BVC,CTCP Nhựa Bảo Vân,OTC
328,BVF1,Quỹ đầu tư Chứng khoán Bảo Việt,OTC
329,BVFED,Quỹ đầu tư Cổ phiếu Năng động Bảo Việt,OTC
330,BVFMC,Công ty TNHH Quản lý Quỹ Bảo Việt,KHÁC
331,BVG,CTCP GROUP BẮC VIỆT,UPCOM
332,BVH,Tập đoàn Bảo Việt,HOSE
333,BVIM,Công ty Liên doanh Quản lý Quỹ đầu tư BIDV - VIETNAM PARTNERS,KHÁC
334,BVL,CTCP BV Land,UPCOM
335,BVN,CTCP Bông Việt Nam,UPCOM
336,BVS,CTCP Chứng khoán Bảo Việt,HNX
337,BWA,CTCP Cấp thoát nước và Xây dựng Bảo Lộc,UPCOM
338,BWE,CTCP Nước - Môi trường Bình Dương,HOSE
339,BWS,CTCP Cấp nước Bà Rịa - Vũng Tàu,UPCOM
340,BXBTQuangNinh,Công ty TNHH MTV Bến Xe - Bến Tàu Quảng Ninh,KHÁC
341,BXD,CTCP Vận tải và Quản lý Bến xe Đà Nẵng,OTC
342,BXH,CTCP VICEM Bao bì Hải Phòng,HNX
343,BXT,CTCP Bến xe Tàu Hậu Giang,OTC
344,C12,CTCP Cầu 12,UPCOM
345,C21,CTCP Thế Kỷ 21 ,UPCOM
346,C22,CTCP 22,UPCOM
347,C32,CTCP CIC39,HOSE
348,C36,CTCP Quản lý và Xây dựng Công trình Giao thông 236,OTC
349,C42,CTCP Xây dựng Thủy lợi 42,OTC
350,C47,CTCP Xây dựng 47,HOSE
351,C4G,CTCP Tập đoàn CIENCO4,UPCOM
352,C69,CTCP Xây dựng 1369,HNX
353,C71,CTCP 471,OTC
354,C92,CTCP Xây dựng và Đầu tư 492,HNX
355,CAA,Công ty TNHH Tư vấn và Kiểm toán CA&A,KHÁC
356,CAB,CTCP Tổng Công ty Truyền hình Cáp Việt Nam,UPCOM
357,CAD,CTCP Chế biến và Xuất nhập khẩu Thủy sản Cadovimex,UPCOM
358,CADICO,CTCP Cadico,OTC
359,Cafatex,CTCP Thủy sản Cafatex,OTC
360,CafeControl,CTCP Giám định Cà phê và Hàng Hoá Xuất nhập khẩu,OTC
361,CAG,CTCP Cảng An Giang,HNX
362,CAGLOBAL,Công ty TNHH Kiểm toán và Tư vấn Toàn cầu,KHÁC
363,CAM,CTCP Môi trường đô thị Cà Mau,OTC
364,CamRanh,CTCP Thương mại Hàng không Cam Ranh,OTC
365,CAN,CTCP Đồ hộp Hạ Long,HNX
366,CangVatCach,CTCP Cảng Vật Cách,OTC
367,CanHoNamLong,CTCP Phát triển Căn hộ Nam Long,OTC
368,CanhXuanAudit,Công ty TNHH Kiểm toán Cảnh Xuân,KHÁC
369,CaoSuBinhDuong,CTCP Cao su Bình Dương,OTC
370,CAP,CTCP Lâm Nông sản Thực phẩm Yên Bái,HNX
371,CAPHEDALAT,Công ty TNHH MTV Xuất nhập khẩu Cà phê Đà Lạt,KHÁC
372,CapitaLand,Công ty TNHH Quản lý Bất động sản CapitalLand,KHÁC
373,CapNuocCanTho2,CTCP Cấp nước Cần Thơ II,OTC
374,CapNuocNghiaLo,Công ty TNHH Xây dựng Cấp thoát nước Nghĩa Lộ,KHÁC
375,CapNuocYenBai,Công ty TNHH MTV Cấp nước Yên Bái,KHÁC
376,CapQuang,CTCP Công nghệ Cáp quang và Thiết bị Bưu điện,OTC
377,CapVietNhat,CTCP Đầu tư Thương mại Việt Nhật,OTC
378,Caric,CTCP Caric,OTC
379,CASHIN,CTCP Công nghiệp Tàu thủy và Vận tải Cần Thơ,OTC
380,CASOCO,CTCP Cảng Phú Định ,OTC
381,CAT,CTCP Thủy sản Cà Mau,UPCOM
382,CathayLife,Công ty TNHH Bảo hiểm Nhân thọ Cathay - Việt Nam,KHÁC
383,CatTuongAudit,Công ty Kiểm toán Cát Tường VAI,KHÁC
384,Cau14,CTCP Cầu 14 - Cienco 1,OTC
385,CauGiay,CTCP Đầu tư Thương mại Dịch vụ Cầu Giấy,OTC
386,CauTre,CTCP Thực phẩm CJ Cầu Tre,OTC
387,CAV,CTCP Dây Cáp điện Việt Nam,HOSE
388,Cavicob,CTCP Cavico Xây dựng Cầu Hầm,OTC
389,CavicoEc,CTCP Xây dựng Năng lượng,OTC
390,CavicoGiaoThong,CTCP CAVICO Giao thông,OTC
391,CavicoHaTang,CTCP Cavico Xây dựng Hạ tầng,OTC
392,CavicoHC,CTCP Cavico Xây dựng Thủy điện,OTC
393,CavicoVN,CTCP  Xây dựng và Đầu Tư Cavico Việt Nam,OTC
394,CayTrong,CTCP Giống cây trồng Quảng Ninh,OTC
395,CBC,CTCP Chè Bàu Cạn,OTC
396,CBI,CTCP Gang thép Cao Bằng,UPCOM
397,CBS,CTCP Mía Đường Cao Bằng,UPCOM
398,CC1,Tổng Công ty Xây dựng Số 1 - CTCP,UPCOM
399,CC4,CTCP Đầu tư và Xây dựng Số 4,UPCOM
400,CC7,CTCP Xây dựng Công trình Giao thông 710,OTC
401,CCA,CTCP Xuất nhập khẩu Thuỷ sản Cần Thơ,UPCOM
402,CCH,CTCP Tư vấn và Đầu tư Xây dựng CCIC Hà Nội,OTC
403,CCI,CTCP Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,HOSE
404,CCL,CTCP Đầu Tư và Phát triển Đô Thị Dầu khí Cửu Long,HOSE
405,CCM,CTCP khoáng sản và Xi măng Cần Thơ,UPCOM
